user_id,action_type,action_id,server_response,timestamp
1,registration,,success,2023-01-01 00:00:00
2,registration,,success,2023-01-01 00:00:00
3,registration,,success,2023-01-01 00:00:00
4,registration,,success,2023-01-01 00:00:00
5,registration,,success,2023-01-01 00:00:00
3,first_visit,,success,2023-01-01 00:00:00
4,first_visit,,success,2023-01-01 00:00:00
5,first_visit,,success,2023-01-01 00:00:00
2,first_visit,,success,2023-01-01 00:00:00
4,first_visit,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
,registration,,success,2023-01-01 00:00:00
1,login,,success,2023-01-01 00:00:00
5,login,,success,2023-01-01 00:00:00
2,login,,success,2023-01-01 00:00:00
5,login,,success,2023-01-01 00:00:00
1,login,,success,2023-01-01 00:00:00
3,logout,,success,2023-01-01 00:00:00
1,logout,,success,2023-01-01 00:00:00
1,logout,,success,2023-01-01 00:00:00
5,logout,,success,2023-01-01 00:00:00
3,logout,,success,2023-01-01 00:00:00
,create_topic,6002,error,2023-01-01 00:00:00
,create_topic,1012,error,2023-01-01 00:00:00
,create_topic,1441,error,2023-01-01 00:00:00
3,create_topic,7804,success,2023-01-01 00:00:00
2,create_topic,6405,success,2023-01-01 00:00:00
,create_topic,1541,error,2023-01-01 00:00:00
,create_topic,2476,error,2023-01-01 00:00:00
1,view_topic,,success,2023-01-01 00:00:00
5,view_topic,,success,2023-01-01 00:00:00
2,view_topic,,success,2023-01-01 00:00:00
5,view_topic,,success,2023-01-01 00:00:00
3,view_topic,,success,2023-01-01 00:00:00
4,delete_topic,,success,2023-01-01 00:00:00
1,delete_topic,,success,2023-01-01 00:00:00
5,delete_topic,,success,2023-01-01 00:00:00
3,delete_topic,,success,2023-01-01 00:00:00
3,delete_topic,,success,2023-01-01 00:00:00
2,create_message,6001,success,2023-01-01 00:00:00
1,create_message,1130,success,2023-01-01 00:00:00
1,create_message,1531,success,2023-01-01 00:00:00
