day,new_accounts,anon_percent,total_messages,topics_change_percent
2025-03-22,0,,0,0.0
2025-03-23,1,100.0,1,0.0
2025-03-24,0,,0,0.0
2025-03-25,1,,0,0.0
2025-03-26,0,50.0,2,0.0
2025-03-27,2,0.0,1,0.0
2025-03-28,1,100.0,2,0.0
2025-03-29,1,,0,0.0
2025-03-30,0,50.0,2,0.0
2025-03-31,1,,0,inf
2025-04-01,0,50.0,2,-100.0
2025-04-02,0,0.0,1,0.0
2025-04-03,1,100.0,1,inf
2025-04-04,0,,0,-100.0
2025-04-05,0,,0,0.0
2025-04-06,0,100.0,2,0.0
2025-04-07,0,,0,inf
2025-04-08,0,100.0,1,-100.0
2025-04-09,2,,0,0.0
2025-04-10,0,,0,inf
2025-04-11,1,100.0,1,0.0
2025-04-12,0,50.0,2,-100.0
2025-04-13,1,0.0,1,inf
2025-04-14,1,100.0,1,-100.0
2025-04-15,1,0.0,1,0.0
2025-04-16,0,50.0,2,0.0
2025-04-17,0,0.0,1,0.0
2025-04-18,2,0.0,1,inf
2025-04-19,0,50.0,2,-100.0
2025-04-20,0,,0,0.0
2025-04-21,1,,0,inf
