day,new_accounts,pct_anonymous,total_messages,topic_change_pct
2023-01-01,10,80.00,5,
2023-01-02,10,60.00,5,100.00
2023-01-03,10,40.00,5,50.00
2023-01-04,10,20.00,5,33.33
2023-01-05,10,40.00,5,25.00
2023-01-06,10,80.00,5,20.00
2023-01-07,10,40.00,5,16.67
2023-01-08,10,60.00,5,14.29
2023-01-09,10,60.00,5,12.50
2023-01-10,10,40.00,5,11.11
2023-01-11,10,20.00,5,10.00
2023-01-12,10,40.00,5,9.09
2023-01-13,10,20.00,5,8.33
2023-01-14,10,60.00,5,7.69
2023-01-15,10,20.00,5,7.14
2023-01-16,10,60.00,5,6.67
2023-01-17,10,60.00,5,6.25
2023-01-18,10,40.00,5,5.88
2023-01-19,10,20.00,5,5.56
2023-01-20,10,40.00,5,5.26
2023-01-21,10,40.00,5,5.00
2023-01-22,10,20.00,5,4.76
2023-01-23,10,20.00,5,4.55
2023-01-24,10,0.00,5,4.35
2023-01-25,10,40.00,5,4.17
2023-01-26,10,60.00,5,4.00
2023-01-27,10,40.00,5,3.85
2023-01-28,10,40.00,5,3.70
2023-01-29,10,20.00,5,3.57
2023-01-30,10,40.00,5,3.45
2023-01-31,10,40.00,5,3.33
