day,new_accounts,total_messages,percent_anonymous,running_total,prev_running,topic_change_percent
2023-01-01,10.0,5.0,0.0,-3.0,0.0,
2023-01-02,10.0,5.0,0.0,-5.0,-3.0,
2023-01-03,10.0,5.0,0.0,-8.0,-5.0,
2023-01-04,10.0,5.0,0.0,-8.0,-8.0,
2023-01-05,10.0,5.0,0.0,-7.0,-8.0,
2023-01-06,10.0,5.0,0.0,-8.0,-7.0,
2023-01-07,10.0,5.0,0.0,-8.0,-8.0,
2023-01-08,10.0,5.0,0.0,-8.0,-8.0,
2023-01-09,10.0,5.0,0.0,-9.0,-8.0,
2023-01-10,10.0,5.0,0.0,-8.0,-9.0,
2023-01-11,10.0,5.0,0.0,-9.0,-8.0,
2023-01-12,10.0,5.0,0.0,-11.0,-9.0,
2023-01-13,10.0,5.0,0.0,-12.0,-11.0,
2023-01-14,10.0,5.0,0.0,-12.0,-12.0,
2023-01-15,10.0,5.0,0.0,-12.0,-12.0,
2023-01-16,10.0,5.0,0.0,-16.0,-12.0,
2023-01-17,10.0,5.0,0.0,-21.0,-16.0,
2023-01-18,10.0,5.0,0.0,-22.0,-21.0,
2023-01-19,10.0,5.0,0.0,-23.0,-22.0,
2023-01-20,10.0,5.0,0.0,-24.0,-23.0,
2023-01-21,10.0,5.0,0.0,-25.0,-24.0,
2023-01-22,10.0,5.0,0.0,-27.0,-25.0,
2023-01-23,10.0,5.0,0.0,-29.0,-27.0,
2023-01-24,10.0,5.0,0.0,-31.0,-29.0,
2023-01-25,10.0,5.0,0.0,-32.0,-31.0,
2023-01-26,10.0,5.0,0.0,-31.0,-32.0,
2023-01-27,10.0,5.0,0.0,-32.0,-31.0,
2023-01-28,10.0,5.0,0.0,-33.0,-32.0,
2023-01-29,10.0,5.0,0.0,-33.0,-33.0,
2023-01-30,10.0,5.0,0.0,-35.0,-33.0,
2023-01-31,10.0,5.0,0.0,-38.0,-35.0,
